City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yatou,37.15,122.3833,25.34,90,100,1.32,CN,1723059457
1,gerash,27.6652,54.1371,35.08,49,100,2.45,IR,1723059458
2,port-aux-francais,-49.35,70.2167,0.99,98,100,12.28,TF,1723059460
3,yellowknife,62.456,-114.3525,21.34,48,75,6.71,CA,1723059461
4,grytviken,-54.2811,-36.5092,-5.67,72,19,4.5,GS,1723059389
5,east london,-33.0153,27.9116,19.74,32,58,2.51,ZA,1723059463
6,tiksi,71.6872,128.8694,6.66,94,100,0.99,RU,1723059464
7,zhangjiajie,29.1294,110.4783,26.15,79,3,0.87,CN,1723059465
8,ushuaia,-54.8,-68.3,2.79,69,0,1.03,AR,1723059307
9,amherst,41.3978,-82.2224,24.18,74,100,3.6,US,1723059179
10,santana,-0.0583,-51.1817,34.1,59,40,2.06,BR,1723059469
11,blackmans bay,-43.0167,147.3167,8.74,79,100,0.45,AU,1723059388
12,puerto ayora,-0.7393,-90.3518,24.98,89,30,3.13,EC,1723059471
13,auki,-8.7676,160.7034,24.24,93,100,2.01,SB,1723059472
14,sao vicente,-23.9631,-46.3919,32.37,54,20,4.12,BR,1723059473
15,nykvarn,59.8,18.3,19.34,89,41,2.28,SE,1723059474
16,kodiak,57.79,-152.4072,13.73,94,0,3.09,US,1723059475
17,choyr,46.3611,108.3611,19.05,63,99,2.13,MN,1723059476
18,albany,42.6001,-73.9662,24.88,70,49,0.45,US,1723059478
19,karatuzskoye,53.6072,92.8667,13.66,93,98,1.58,RU,1723059479
20,san patricio,28.017,-97.5169,36.76,33,0,2.8,US,1723059480
21,bethel,41.3712,-73.414,19.55,87,100,3.09,US,1723059481
22,carnarvon,-24.8667,113.6333,18.14,78,0,4.39,AU,1723059482
23,ilulissat,69.2167,-51.1,5.01,93,75,2.57,GL,1723059483
24,lloydminster,53.2835,-110.0016,19.12,52,75,3.09,CA,1723059214
25,iqaluit,63.7506,-68.5145,10.85,62,20,2.57,CA,1723059486
26,bilibino,68.0546,166.4372,7.32,60,0,1.75,RU,1723059487
27,adamstown,-25.066,-130.1015,18.78,65,24,3.47,PN,1723059488
28,gadzhiyevo,69.2551,33.3362,15.21,57,8,3.11,RU,1723059489
29,phan rang-thap cham,11.5667,108.9833,24.87,90,84,1.24,VN,1723059490
30,amos,48.5669,-78.1162,22.66,36,70,2.77,CA,1723059492
31,yuzhno-kurilsk,44.0306,145.8556,17.53,100,100,2.8,RU,1723059493
32,lompoc,34.6391,-120.4579,28.66,61,0,6.69,US,1723059494
33,katabu,-4.9333,122.5167,23.68,88,91,2.25,ID,1723059496
34,ola,59.5833,151.2833,12.01,88,58,1.4,RU,1723059384
35,invercargill,-46.4,168.35,7.23,90,51,3.35,NZ,1723059498
36,wailua homesteads,22.0669,-159.378,26.44,74,20,5.66,US,1723059499
37,uturoa,-16.7333,-151.4333,26.01,79,9,5.06,PF,1723059500
38,masina,-4.3836,15.3914,27.16,57,72,4.12,CD,1723059501
39,karlskrona,56.1616,15.5866,18.25,87,100,3.85,SE,1723059502
40,malvan,16.0667,73.4667,26.04,85,100,3.83,IN,1723059503
41,badger,64.8,-147.5333,22.42,57,75,3.09,US,1723059504
42,margaret river,-33.95,115.0667,13.57,63,38,5.42,AU,1723059506
43,bubaque,11.2833,-15.8333,26.43,83,96,7.7,GW,1723059507
44,edinburgh of the seven seas,-37.0676,-12.3116,8.1,64,99,14.19,SH,1723059508
45,happy valley-goose bay,53.3168,-60.3315,14.17,88,75,2.57,CA,1723059509
46,waitangi,-43.9535,-176.5597,9.9,69,18,6.97,NZ,1723059510
47,bardai,11.65,7.2333,21.81,95,69,2.43,NG,1723059511
48,mlandizi,-6.7,38.7333,21.48,87,33,1.42,TZ,1723059512
49,mersing,2.4312,103.8405,23.95,94,20,1.54,MY,1723059513
50,hotan,37.0997,79.9269,26.51,21,0,2.25,CN,1723059514
51,desnogorsk,54.1508,33.2815,14.51,95,100,1.51,RU,1723059516
52,griffith,41.5284,-87.4237,26.75,64,0,6.17,US,1723059517
53,saint croix,17.7397,-64.7388,32.25,70,0,6.17,VI,1723059518
54,luderitz,-26.6481,15.1594,12.64,77,100,3.16,NA,1723059519
55,olonkinbyen,70.9221,-8.7187,6.17,100,100,4.14,SJ,1723059520
56,pisco,-13.7,-76.2167,20.03,68,100,6.17,PE,1723059521
57,talnakh,69.4865,88.3972,9.69,70,0,4.22,RU,1723059522
58,xinyuan,37.3,99.0,9.2,74,100,0.48,CN,1723059523
59,hithadhoo,-0.6,73.0833,28.66,70,100,2.03,MV,1723059524
60,sakakah,29.9697,40.2064,32.76,13,0,3.07,SA,1723059493
61,hawaiian paradise park,19.5933,-154.9731,28.18,74,0,2.57,US,1723059527
62,woolgoolga,-30.1106,153.2007,12.25,69,79,3.34,AU,1723059528
63,quellon,-43.1167,-73.6167,8.63,78,21,2.06,CL,1723059529
64,vadso,70.0744,29.7487,20.49,58,0,4.63,NO,1723059530
65,eraan,9.0629,117.7016,25.67,86,100,1.62,PH,1723059531
66,papatowai,-46.5619,169.4708,7.08,93,100,2.83,NZ,1723059532
67,nizhniy kuranakh,58.8353,125.4869,11.48,95,15,0.69,RU,1723059533
68,aykhal,66.0,111.5,11.8,61,84,4.37,RU,1723059409
69,grand-bassam,5.2118,-3.7388,24.98,87,100,4.1,CI,1723059536
70,nyurba,63.2842,118.3319,8.75,89,60,1.68,RU,1723059537
71,st. john's,47.5649,-52.7093,21.82,64,100,6.69,CA,1723059538
72,rudnichnyy,59.617,52.4703,14.17,95,100,2.83,RU,1723059540
73,stanley,54.868,-1.6985,15.95,73,20,3.6,GB,1723059541
74,san matias,-16.3667,-58.4,37.58,19,36,3.09,BO,1723059542
75,proletariy,58.4342,31.7046,14.86,95,7,2.38,RU,1723059544
76,stephenville,32.2207,-98.2023,38.98,26,0,2.57,US,1723059545
77,qaqortoq,60.7167,-46.0333,8.06,94,100,2.1,GL,1723059546
78,new norfolk,-42.7826,147.0587,9.4,91,100,1.46,AU,1723059547
79,fedorovka,53.6314,62.7078,16.72,89,98,3.78,KZ,1723059548
80,vorgashor,67.5833,63.95,7.06,74,9,2.31,RU,1723059549
81,pathein,16.7833,94.7333,25.44,91,96,2.3,MM,1723059550
82,urla,38.3229,26.764,29.45,44,0,4.95,TR,1723059552
83,mogocha,53.7333,119.7667,13.13,80,100,1.69,RU,1723059553
84,northam,51.0333,-4.2167,16.88,86,100,5.27,GB,1723059554
85,vaxjo,56.8777,14.8091,20.03,77,0,2.57,SE,1723059356
86,utrik,11.2278,169.8474,28.33,75,98,6.1,MH,1723059556
87,crane,31.3974,-102.3501,36.93,19,0,0.79,US,1723059557
88,kapa'a,22.0752,-159.319,27.18,72,20,5.66,US,1723059558
89,alexandria,31.2156,29.9553,27.98,64,0,3.3,EG,1723059043
